;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;Amundi ETF;;;;;;
;;;;;;;
;TITOLI DETENUTI DAL FONDO;;;;;;
;;;;;;;
;Nome del fondo;Amundi Prime Japan UCITS ETF DR (D);;;;;
;Codice ISIN;LU1931974775;;;;;
;Metodologia di Replica;Physical;;;;;
;;;;;;;
;Attivi in gestione nel fondo al 05/06/2026;680.212,03 mln JPY;;;;;
;Valuta di riferimento;JPY;;;;;
;;;;;;;
;Si prega di notare che i dati relativi ai titoli detenuti a livello del fondo possono cambiare quotidianamente. Dati ritenuti esatti al 05/06/2026. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;;
;;;;;;;
;Codice ISIN;Nome;Asset class;Valuta;Peso;Settore;Paese
;JP3902900004;MITSUBISHI UFJ FINANCIAL GROUP;EQUITY;JPY; 3,97%;Finanziari;Giappone
;JP3633400001;TOYOTA MOTOR CORP;EQUITY;JPY; 3,27%;Beni voluttuari;Giappone
;JP3571400005;TOKYO ELECTRON  JPY50;EQUITY;JPY; 2,93%;Information Technology;Giappone
;JP3436100006;SOFTBANK GROUP CORP;EQUITY;JPY; 2,87%;Servizi di comunicazione;Giappone
;JP3890350006;SUMITOMO MITSUI FINANCIAL GROUP;EQUITY;JPY; 2,56%;Finanziari;Giappone
;JP3788600009;HITACHI LTD;EQUITY;JPY; 2,49%;Industrali;Giappone
;JP3435000009;SONY GROUP CORP (JT);EQUITY;JPY; 2,32%;Beni voluttuari;Giappone
;JP3122400009;ADVANTEST CORP  Y50;EQUITY;JPY; 2,12%;Information Technology;Giappone
;JP3885780001;MIZUHO FINANCIAL GROUP INC;EQUITY;JPY; 2,07%;Finanziari;Giappone
;JP3898400001;MITSUBISHI CORPORATION;EQUITY;JPY; 1,78%;Industrali;Giappone
;JP3914400001;MURATA MANUFACT CO LTD  JPY50;EQUITY;JPY; 1,77%;Information Technology;Giappone
;JP3236200006;KEYENCE CORP  JPY50;EQUITY;JPY; 1,56%;Information Technology;Giappone
;JP3802300008;FAST RETAILING CO  JPY50;EQUITY;JPY; 1,50%;Beni voluttuari;Giappone
;JP3970300004;RECRUIT HOLDINGS CO LTD;EQUITY;JPY; 1,47%;Industrali;Giappone
;JP3236330001;KIOXIA HOLDINGS CORP;EQUITY;JPY; 1,42%;Information Technology;Giappone
;JP3371200001;SHIN-ETSU CHEM CO  JPY50;EQUITY;JPY; 1,34%;Materiali;Giappone
;JP3910660004;TOKIO MARINE HOLDINGS INC;EQUITY;JPY; 1,33%;Finanziari;Giappone
;JP3893600001;MITSUI & CO LTD;EQUITY;JPY; 1,30%;Industrali;Giappone
