;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;Amundi ETF;;;;;;
;;;;;;;
;TITOLI DETENUTI DAL FONDO;;;;;;
;;;;;;;
;Nome del fondo;Amundi Core Stoxx Europe 600 UCITS ETF Acc;;;;;
;Codice ISIN;LU0908500753;;;;;
;Metodologia di Replica;Physical;;;;;
;;;;;;;
;Attivi in gestione nel fondo al 05/06/2026;19.567,83 mln EUR;;;;;
;Valuta di riferimento;EUR;;;;;
;;;;;;;
;Si prega di notare che i dati relativi ai titoli detenuti a livello del fondo possono cambiare quotidianamente. Dati ritenuti esatti al 05/06/2026. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;;
;;;;;;;
;Codice ISIN;Nome;Asset class;Valuta;Peso;Settore;Paese
;NL0010273215;ASML HOLDING NV;EQUITY;EUR; 4,37%;Information Technology;Paesi Bassi
;GB0005405286;HSBC HOLDINGS PLC;EQUITY;GBP; 2,09%;Finanziari;Regno Unito
;CH1499059983;ROCHE HOLDING AG - GENUSSS CHF;EQUITY;CHF; 1,93%;Sanità;Svizzera
;GB0009895292;ASTRAZENECA GBP;EQUITY;GBP; 1,92%;Sanità;Regno Unito
;CH0012005267;NOVARTIS AG-REG;EQUITY;CHF; 1,88%;Sanità;Svizzera
;CH0038863350;NESTLE SA-REG;EQUITY;CHF; 1,66%;Beni di prima necessità;Svizzera
;GB00BP6MXD84;SHELL PLC EUR;EQUITY;EUR; 1,64%;Energia;Regno Unito
;DE0007236101;SIEMENS AG-REG;EQUITY;EUR; 1,56%;Industrali;Germania
;FR0000120271;TOTALENERGIES SE PARIS;EQUITY;EUR; 1,30%;Energia;Francia
;DE0007164600;SAP SE / XETRA;EQUITY;EUR; 1,27%;Information Technology;Germania
;ES0113900J37;BANCO SANTANDER SA MADRID;EQUITY;EUR; 1,21%;Finanziari;Spagna
;FR0000121972;SCHNEIDER ELECT SE;EQUITY;EUR; 1,20%;Industrali;Francia
;CH0012221716;ABB LTD-REG;EQUITY;CHF; 1,10%;Industrali;Svizzera
;DE0008404005;ALLIANZ SE-REG;EQUITY;EUR; 1,09%;Finanziari;Germania
;CH0244767585;UBS GROUP AG;EQUITY;CHF; 0,97%;Finanziari;Svizzera
;GB00B63H8491;ROLLS-ROYCE HOLDINGS PLC;EQUITY;GBP; 0,95%;Industrali;Regno Unito
;ES0144580Y14;IBERDROLA SA;EQUITY;EUR; 0,94%;Beni di pubblica utilità;Spagna
;DE000ENER6Y0;SIEMENS ENERGY AG;EQUITY;EUR; 0,94%;Industrali;Germania
