05-giu-2026;;;;;;;;;;;
iShares Core MSCI EM IMI UCITS ETF;;;;;;;;;;;
Inception Date;30/05/2014;;;;;;;;;;
Fund Holdings as of;05/06/2026;;;;;;;;;;
Number of Securities;3.063,00;;;;;;;;;;
Shares Outstanding;773.413.045,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
2330;TAIWAN SEMICONDUCTOR MANUFACTURING;IT;Azionario;5.791.415.631,59;13,12;5.791.415.631,59;77.185.000,00;75,03;Taiwan;Taiwan Stock Exchange;TWD
005930;SAMSUNG ELECTRONICS LTD;IT;Azionario;3.126.653.250,91;7,09;3.126.653.250,91;14.643.001,00;213,53;Corea;Korea Exchange (Stock Market);KRW
000660;SK HYNIX INC;IT;Azionario;2.324.449.591,12;5,27;2.324.449.591,12;1.730.199,00;1.343,46;Corea;Korea Exchange (Stock Market);KRW
700;TENCENT HOLDINGS LTD;Comunicazione;Azionario;1.116.301.270,35;2,53;1.116.301.270,35;19.298.440,00;57,84;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
9988;ALIBABA GROUP HOLDING LTD;Consumi Discrezionali;Azionario;821.803.990,53;1,86;821.803.990,53;52.603.848,00;15,62;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
2454;MEDIATEK INC;IT;Azionario;620.044.734,21;1,41;620.044.734,21;4.545.000,00;136,42;Taiwan;Taiwan Stock Exchange;TWD
2308;DELTA ELECTRONICS INC;IT;Azionario;449.577.813,73;1,02;449.577.813,73;6.161.073,00;72,97;Taiwan;Taiwan Stock Exchange;TWD
2317;HON HAI PRECISION INDUSTRY LTD;IT;Azionario;346.962.135,44;0,79;346.962.135,44;38.439.624,00;9,03;Taiwan;Taiwan Stock Exchange;TWD
005935;SAMSUNG ELECTRONICS NON VOTING PRE;IT;Azionario;343.781.555,04;0,78;343.781.555,04;2.510.420,00;136,94;Corea;Korea Exchange (Stock Market);KRW
939;CHINA CONSTRUCTION BANK CORP H;Finanziari;Azionario;300.277.585,40;0,68;300.277.585,40;269.797.000,00;1,11;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
HDFCBANK;HDFC BANK LTD;Finanziari;Azionario;272.780.179,39;0,62;272.780.179,39;34.665.320,00;7,87;India;National Stock Exchange Of India;INR
RELIANCE;RELIANCE INDUSTRIES LTD;Energia;Azionario;252.867.812,53;0,57;252.867.812,53;18.595.137,00;13,60;India;National Stock Exchange Of India;INR
402340;SK SQUARE LTD;Industriali;Azionario;236.032.576,58;0,53;236.032.576,58;289.093,00;816,46;Corea;Korea Exchange (Stock Market);KRW
ICICIBANK;ICICI BANK LTD;Finanziari;Azionario;212.726.809,59;0,48;212.726.809,59;16.001.494,00;13,29;India;National Stock Exchange Of India;INR
009150;SAMSUNG ELECTRO MECHANICS LTD;IT;Azionario;199.675.159,01;0,45;199.675.159,01;175.105,00;1.140,32;Corea;Korea Exchange (Stock Market);KRW
3711;ASE TECHNOLOGY HOLDING LTD;IT;Azionario;193.655.658,18;0,44;193.655.658,18;10.578.734,00;18,31;Taiwan;Taiwan Stock Exchange;TWD
1810;XIAOMI CORP;IT;Azionario;190.497.691,72;0,43;190.497.691,72;53.687.800,00;3,55;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
4BRZ;ISHARES MSCI BRAZIL UCITS ET USDHA;Finanziari;Azionario;189.401.568,00;0,43;189.401.568,00;3.945.866,00;48,00;Germania;Xetra;USD
