05-giu-2026;;;;;;;;;;;
iShares Core MSCI Pacific ex-Japan UCITS ETF;;;;;;;;;;;
Inception Date;12/01/2010;;;;;;;;;;
Fund Holdings as of;05/06/2026;;;;;;;;;;
Number of Securities;93,00;;;;;;;;;;
Shares Outstanding;15.600.285,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
BHP;BHP GROUP LTD;Materiali;Azionario;366.306.703,86;10,03;366.306.703,86;8.447.245,00;43,36;Australia;Asx - All Markets;AUD
CBA;COMMONWEALTH BANK OF AUSTRALIA;Finanziari;Azionario;316.956.260,38;8,68;316.956.260,38;2.781.946,00;113,93;Australia;Asx - All Markets;AUD
D05;DBS GROUP HOLDINGS LTD;Finanziari;Azionario;169.901.953,69;4,65;169.901.953,69;3.433.735,00;49,48;Singapore;Singapore Exchange;SGD
1299;AIA GROUP LTD;Finanziari;Azionario;164.992.689,84;4,52;164.992.689,84;17.468.824,00;9,44;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
WBC;WESTPAC BANKING CORPORATION;Finanziari;Azionario;140.150.985,07;3,84;140.150.985,07;5.685.878,00;24,65;Australia;Asx - All Markets;AUD
NAB;NATIONAL AUSTRALIA BANK LTD;Finanziari;Azionario;132.126.044,13;3,62;132.126.044,13;5.099.545,00;25,91;Australia;Asx - All Markets;AUD
ANZ;ANZ GROUP HOLDINGS LTD;Finanziari;Azionario;121.062.260,49;3,32;121.062.260,49;5.010.778,00;24,16;Australia;Asx - All Markets;AUD
WES;WESFARMERS LTD;Consumi Discrezionali;Azionario;105.480.875,34;2,89;105.480.875,34;1.887.283,00;55,89;Australia;Asx - All Markets;AUD
MQG;MACQUARIE GROUP LTD DEF;Finanziari;Azionario;101.130.606,25;2,77;101.130.606,25;604.093,00;167,41;Australia;Asx - All Markets;AUD
O39;OVERSEA-CHINESE BANKING LTD;Finanziari;Azionario;101.065.078,00;2,77;101.065.078,00;5.441.641,00;18,57;Singapore;Singapore Exchange;SGD
388;HONG KONG EXCHANGES AND CLEARING L;Finanziari;Azionario;99.009.916,57;2,71;99.009.916,57;1.956.932,00;50,59;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
RIO;RIO TINTO LTD;Materiali;Azionario;80.787.394,28;2,21;80.787.394,28;618.108,00;130,70;Australia;Asx - All Markets;AUD
GMG;GOODMAN GROUP UNITS;Immobili;Azionario;72.986.291,39;2,00;72.986.291,39;3.314.258,00;22,02;Australia;Asx - All Markets;AUD
WDS;WOODSIDE ENERGY GROUP LTD;Energia;Azionario;69.172.190,69;1,89;69.172.190,69;3.160.370,00;21,89;Australia;Asx - All Markets;AUD
