Sebbene le informazioni contenute nel presente documento siano state ottenute da fonti ritenute affidabili, DWS non ne garantisce l’accuratezza, la completezza o l’equità e non deve essere invocata come tale. DWS non si assume alcuna responsabilità per errori, inesattezze o omissioni relativamente alle informazioni qui contenute, e non ha alcun obbligo di aggiornare, modificare o correggere le informazioni che dovessero risultare inesatte. DWS DECLINA ESPRESSAMENTE OGNI RESPONSABILITÀ PER EVENTUALI PERDITE O DANNI DIRETTI, INDIRETTI O DI ALTRA NATURA, IVI INCLUSO L’EVENTUALE LUCRO CESSANTE SUBITO DALL’INVESTITORE O DA TERZI E DERIVANTE DALL’AVER FATTO AFFIDAMENTO SUL PRESENTE DOCUMENTO, O PER LA SUA AFFIDABILITÀ, ACCURATEZZA, COMPLETEZZA O TEMPESTIVITÀ. Il presente documento è stato redatto esclusivamente a scopo informativo e non costituisce un’offerta, raccomandazione o sollecitazione a concludere transazioni.;;;;;;;;;;
;;;;;;;;;;
;Name;ISIN;Country;Currency;Exchange;Type of Security;Rating;Primary Listing;Industry Classification;Weighting
1;NVIDIA CORP;US67066G1040;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;B1;NASDAQ Composite Index;Tecnologia dell'informazione;5,44%
2;APPLE INC;US0378331005;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;Aa1;NASDAQ Composite Index;Tecnologia dell'informazione;4,89%
3;MICROSOFT CORP;US5949181045;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;Aaa;NASDAQ Composite Index;Tecnologia dell'informazione;2,99%
4;AMAZON COM INC;US0231351067;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;Baa1;NASDAQ Composite Index;Beni voluttuari;2,64%
5;ALPHABET INC CLASS A;US02079K3059;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;Aa2;NASDAQ Composite Index;Servizi di comunicazione;2,39%
6;BROADCOM INC;US11135F1012;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;-;NASDAQ Composite Index;Tecnologia dell'informazione;2,07%
7;ALPHABET INC CLASS C;US02079K1079;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;-;NASDAQ Composite Index;Servizi di comunicazione;1,90%
8;MICRON TECHNOLOGY INC;US5951121038;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;Ba3;NASDAQ Composite Index;Tecnologia dell'informazione;1,43%
9;META PLATFORMS INC CLASS A;US30303M1027;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;-;NASDAQ Composite Index;Servizi di comunicazione;1,42%
10;TESLA INC;US88160R1014;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;-;NASDAQ Composite Index;Beni voluttuari;1,26%
11;ELI LILLY;US5324571083;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A2;S&P 500 Index;Sanità;0,99%
12;ADVANCED MICRO DEVICES INC;US0079031078;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;-;NASDAQ Composite Index;Tecnologia dell'informazione;0,98%
13;JPMORGAN CHASE;US46625H1005;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A2;S&P 500 Index;Finanza;0,97%
14;ASML HOLDING NV;NL0010273215;Paesi Bassi (Olanda);EUR;Euronext Amsterdam;Azionari;Baa2;Amsterdam Exchanges Index;Tecnologia dell'informazione;0,83%
15;BERKSHIRE HATHAWAY INC CLASS B;US0846707026;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;Aa2;S&P 500 Index;Finanza;0,76%
16;INTEL CORPORATION CORP;US4581401001;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;A1;NASDAQ Composite Index;Tecnologia dell'informazione;0,66%
17;EXXON MOBIL CORP;US30231G1022;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;Aa2;S&P 500 Index;Energia;0,64%
18;VISA INC CLASS A;US92826C8394;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A1;S&P 500 Index;Finanza;0,61%
