Questo file è stato scaricato il 09 giu 2026;;;;;;
;;;;;;
Dati delle partecipazioni;;;;;;
Vanguard FTSE North America UCITS ETF (USD) Accumulating;;;;;;
Al 30 apr 2026;;;;;;
;;;;;;
Ticker;Nome delle partecipazioni;% del valore di mercato;Settore;Regione;Valore di mercato;Azioni
NVDA;NVIDIA Corp;7,11%;Technology;US;427.402.704,26 USD;2.141.618
AAPL;Apple Inc;5,9506%;Technology;US;357.711.750,45 USD;1.318.267
MSFT;Microsoft Corp;4,6035%;Technology;US;276.733.780,30 USD;678.635
AMZN;Amazon.com Inc;3,8704%;Consumer Discretionary;US;232.665.161,98 USD;877.783
GOOGL;Alphabet Inc;3,4047%;Technology;US;204.669.732,80 USD;531.886
AVGO;Broadcom Inc;2,9345%;Technology;US;176.404.248,28 USD;422.596
GOOG;Alphabet Inc;2,7519%;Technology;US;165.423.561,16 USD;433.114
META;Meta Platforms Inc;2,0337%;Technology;US;122.254.110,81 USD;199.791
TSLA;Tesla Inc;1,6392%;Consumer Discretionary;US;98.535.721,11 USD;258.197
BRK/B;Berkshire Hathaway Inc;1,3117%;Financials;US;78.849.190,40 USD;166.489
JPM;JPMorgan Chase & Co;1,1891%;Financials;US;71.478.772,77 USD;228.199
LLY;Eli Lilly & Co;1,1397%;Health Care;US;68.513.656,80 USD;73.308
XOM;Exxon Mobil Corp;0,9926%;Energy;US;59.665.521,30 USD;386.610
MU;Micron Technology Inc;0,8796%;Technology;US;52.877.541,36 USD;102.246
WMT;Walmart Inc;0,8737%;Consumer Discretionary;US;52.519.090,19 USD;398.083
AMD;Advanced Micro Devices Inc;0,869%;Technology;US;52.236.582,93 USD;147.357
V;Visa Inc;0,8453%;Industrials;US;50.815.480,24 USD;154.061
JNJ;Johnson & Johnson;0,8419%;Health Care;US;50.611.361,05 USD;220.193
COST;Costco Wholesale Corp;0,6854%;Consumer Discretionary;US;41.204.121,42 USD;40.614
INTC;Intel Corp;0,6362%;Technology;US;38.242.291,68 USD;404.766
CAT;Caterpillar Inc;0,6274%;Industrials;US;37.717.521,14 USD;42.374
MA;Mastercard Inc;0,616%;Industrials;US;37.029.999,60 USD;73.630
NFLX;Netflix Inc;0,604%;Consumer Discretionary;US;36.305.608,79 USD;387.839
ABBV;AbbVie Inc;0,5699%;Health Care;US;34.258.775,76 USD;162.118
CSCO;Cisco Systems Inc;0,5543%;Telecommunications;US;33.321.463,50 USD;364.169
CVX;Chevron Corp;0,5513%;Energy;US;33.141.066,40 USD;171.440
PG;Procter & Gamble Co/The;0,526%;Consumer Staples;US;31.618.760,58 USD;214.962
BAC;Bank of America Corp;0,5138%;Financials;US;30.887.316,90 USD;577.765
UNH;UnitedHealth Group Inc;0,5133%;Health Care;US;30.853.574,40 USD;83.280
HD;Home Depot Inc/The;0,4984%;Consumer Discretionary;US;29.960.256,00 USD;91.120
LRCX;Lam Research Corp;0,4928%;Technology;US;29.623.472,52 USD;114.882
AMAT;Applied Materials Inc;0,4764%;Technology;US;28.637.212,57 USD;72.593
KO;Coca-Cola Co/The;0,4662%;Consumer Staples;US;28.025.958,40 USD;355.840
PLTR;Palantir Technologies Inc;0,4626%;Technology;US;27.807.532,56 USD;199.896
GE;General Electric Co;0,4591%;Industrials;US;27.596.697,12 USD;95.184
GEV;GE Vernova Inc;0,4453%;Industrials;US;26.767.962,76 USD;24.706
ORCL;Oracle Corp;0,4136%;Technology;US;24.862.290,89 USD;154.051
MRK;Merck & Co Inc;0,413%;Health Care;US;24.826.767,74 USD;227.393
PM;Philip Morris International Inc;0,3915%;Consumer Staples;US;23.533.864,83 USD;142.569
TXN;Texas Instruments Inc;0,3889%;Technology;US;23.377.423,60 USD;83.170
GS;Goldman Sachs Group Inc/The;0,3878%;Financials;US;23.310.412,18 USD;25.234
WFC;Wells Fargo & Co;0,3876%;Financials;US;23.302.501,86 USD;283.382
RY;Royal Bank of Canada;0,3826%;Financials;CA;22.996.120,76 USD;128.116
RTX;RTX Corp;0,3586%;Industrials;US;21.554.841,54 USD;122.422
LIN;Linde PLC;0,3583%;Basic Materials;US;21.538.997,20 USD;42.980
KLAC;KLA Corp;0,3506%;Technology;US;21.072.463,65 USD;12.039
PEP;PepsiCo Inc;0,3306%;Consumer Staples;US;19.876.072,41 USD;125.409
MS;Morgan Stanley;0,3292%;Financials;US;19.789.150,29 USD;103.831
IBM;International Business Machines Corp;0,3272%;Technology;US;19.666.099,16 USD;85.142
MCD;McDonald's Corp;0,3195%;Consumer Discretionary;US;19.205.483,44 USD;65.416
C;Citigroup Inc;0,3192%;Financials;US;19.190.856,96 USD;149.952
NEE;NextEra Energy Inc;0,3109%;Utilities;US;18.686.466,56 USD;190.912
VZ;Verizon Communications Inc;0,3088%;Telecommunications;US;18.564.315,45 USD;386.515
ADI;Analog Devices Inc;0,2994%;Technology;US;17.995.503,36 USD;44.736
QCOM;QUALCOMM Inc;0,2924%;Technology;US;17.575.853,76 USD;97.872
AMGN;Amgen Inc;0,2835%;Health Care;US;17.043.810,00 USD;49.224
DIS;Walt Disney Co/The;0,2806%;Consumer Discretionary;US;16.865.703,75 USD;162.561
TMO;Thermo Fisher Scientific Inc;0,2754%;Health Care;US;16.551.899,68 USD;34.558
TD;Toronto-Dominion Bank/The;0,275%;Financials;CA;16.532.570,03 USD;153.779
T;AT&T Inc;0,2749%;Telecommunications;US;16.527.251,13 USD;632.501
APH;Amphenol Corp;0,2735%;Technology;US;16.440.191,91 USD;111.633
ANET;Arista Networks Inc;0,2712%;Telecommunications;US;16.304.514,84 USD;94.404
TJX;TJX Cos Inc/The;0,2669%;Consumer Discretionary;US;16.041.481,50 USD;102.338
AXP;American Express Co;0,2656%;Industrials;US;15.965.131,00 USD;49.420
BA;Boeing Co/The;0,2635%;Industrials;US;15.836.737,41 USD;69.147
ETN;Eaton Corp PLC;0,2583%;Industrials;US;15.528.604,62 USD;35.862
GILD;Gilead Sciences Inc;0,248%;Health Care;US;14.908.956,32 USD;113.948
BLK;BlackRock Funding Inc/DE;0,2475%;Financials;US;14.877.907,20 USD;13.962
ISRG;Intuitive Surgical Inc;0,2459%;Health Care;US;14.783.548,66 USD;32.306
UNP;Union Pacific Corp;0,2454%;Industrials;US;14.751.874,16 USD;54.742
CRM;Salesforce Inc;0,245%;Technology;US;14.727.191,78 USD;83.426
ABT;Abbott Laboratories;0,2393%;Health Care;US;14.386.311,03 USD;158.457
SNDK;Sandisk Corp/DE;0,2388%;Technology;US;14.352.219,39 USD;13.089
COP;ConocoPhillips;0,2369%;Energy;US;14.241.943,62 USD;113.229
SCHW;Charles Schwab Corp/The;0,2329%;Financials;US;14.002.592,00 USD;152.800
PFE;Pfizer Inc;0,2309%;Health Care;US;13.879.354,20 USD;519.826
UBER;Uber Technologies Inc;0,2287%;Consumer Discretionary;US;13.745.847,96 USD;184.236
WELL;Welltower Inc;0,2274%;Real Estate;US;13.670.468,66 USD;62.899
SHOP;Shopify Inc;0,226%;Technology;CA;13.583.248,31 USD;112.131
WDC;Western Digital Corp;0,225%;Technology;US;13.524.869,52 USD;31.126
STX;Seagate Technology Holdings PLC;0,2231%;Technology;US;13.410.825,12 USD;19.908
DE;Deere & Co;0,2194%;Industrials;US;13.190.672,94 USD;22.362
PANW;Palo Alto Networks Inc;0,2183%;Technology;US;13.123.354,88 USD;73.184
MRVL;Marvell Technology Inc;0,2128%;Technology;US;12.790.537,20 USD;77.448
BKNG;Booking Holdings Inc;0,2086%;Consumer Discretionary;US;12.537.264,12 USD;74.467
HON;Honeywell International Inc;0,2075%;Industrials;US;12.472.505,69 USD;58.193
LOW;Lowe's Cos Inc;0,2037%;Consumer Discretionary;US;12.247.300,31 USD;51.289
PLD;Prologis Inc;0,2005%;Real Estate;US;12.054.799,62 USD;84.881
SPGI;S&P Global Inc;0,1991%;Financials;US;11.965.770,04 USD;27.748
GLW;Corning Inc;0,1951%;Technology;US;11.730.020,80 USD;71.420
VRT;Vertiv Holdings Co;0,1903%;Technology;US;11.438.678,78 USD;34.822
BMY;Bristol-Myers Squibb Co;0,188%;Health Care;US;11.303.185,68 USD;186.552
MO;Altria Group Inc;0,1866%;Consumer Staples;US;11.214.254,00 USD;154.360
NEM;Newmont Corp;0,1858%;Basic Materials;US;11.167.211,16 USD;100.524
ENB;Enbridge Inc;0,1839%;Energy;CA;11.052.911,04 USD;199.683
SBUX;Starbucks Corp;0,1824%;Consumer Discretionary;US;10.963.273,05 USD;104.085
CB;Chubb Ltd;0,1819%;Financials;US;10.933.572,00 USD;33.436
PGR;Progressive Corp/The;0,1795%;Financials;US;10.791.425,92 USD;53.614
COF;Capital One Financial Corp;0,179%;Industrials;US;10.758.329,40 USD;56.238
PH;Parker-Hannifin Corp;0,1751%;Industrials;US;10.527.445,92 USD;11.576
DHR;Danaher Corp;0,1716%;Health Care;US;10.315.035,90 USD;57.642
CRWD;Crowdstrike Holdings Inc;0,1677%;Technology;US;10.083.310,75 USD;22.621
ACN;Accenture PLC;0,1674%;Industrials;US;10.065.125,91 USD;56.321
TT;Trane Technologies PLC;0,1672%;Industrials;US;10.050.278,70 USD;20.405
VRTX;Vertex Pharmaceuticals Inc;0,1652%;Health Care;US;9.929.319,54 USD;23.233
SYK;Stryker Corp;0,1651%;Health Care;US;9.925.649,61 USD;31.497
BMO;Bank of Montreal;0,1641%;Financials;CA;9.862.245,48 USD;64.898
PWR;Quanta Services Inc;0,1632%;Industrials;US;9.807.428,52 USD;13.476
